text,sentiment,timestamp,day_of_week,label,companyEmail
 hey whats up? did u like the new episode of JONAS?,neutral,2023-11-29,2,curiosity,kingsuk2022@gmail.com
Back home.  Preheatin` oven before popping in a pizza,neutral,2023-11-30,3,neutral,sayantandas@gmail.com
 I can`t wait that long,neutral,2023-12-01,4,excitement,deydebjani916@gmail.com
 all you have to do is have your boyfriend say something for me so i can hear his accent.,neutral,2023-12-02,5,neutral,sayantan17@gmail.com
Checked if there`s a new comment on friendster!,neutral,2023-12-03,6,neutral,kingsuk2022@gmail.com
Extremly deep,neutral,2023-11-27,0,neutral,sayantandas@gmail.com
  Why?,neutral,2023-11-28,1,neutral,deydebjani916@gmail.com
having Bigi & Tokyo Fashion Spree tmr  Check out SIH web ^____^,neutral,2023-11-29,2,neutral,sayantan17@gmail.com
i have a sunburn line on my back from the tag sticking out of my tank top all day..... ugh. i need aloe vera!! went to the park again,neutral,2023-11-30,3,neutral,kingsuk2022@gmail.com
"_1210 holy ****, I need to see that! Too bad I gotta wait until tomorrow",neutral,2023-12-01,4,disappointment,sayantandas@gmail.com
Hubby went to pick up  my Fringe comics today @ store by his work. THAT store was out of business too. No comix in Houston. Have 2 Web.,neutral,2023-12-02,5,neutral,deydebjani916@gmail.com
Finished with MTML assignment  But didn`t like it at all. Feels like I missed lotsa points but the word limit is 2500. Hmmpph!,neutral,2023-12-03,6,disappointment,sayantan17@gmail.com
Ugh 3 more hours,neutral,2023-11-27,0,neutral,kingsuk2022@gmail.com
"Hmmm.. If I skip the grocery store and head to Walmart, I could potentially leave with so much more.",neutral,2023-11-28,1,neutral,sayantandas@gmail.com
"  Blake Sea should have been a water sandbox (a la Cordova), but we can`t rez objects and autoreturn is 5 mins",neutral,2023-11-29,2,neutral,deydebjani916@gmail.com
   Hi to one kiwi artist from another kiwi artist,neutral,2023-11-30,3,neutral,sayantan17@gmail.com
 i missed the sun as was too busy gettin hot and bothered in the shops  will have to make up for it at the weekend! x,neutral,2023-12-01,4,disappointment,kingsuk2022@gmail.com
I had a dream there was some kind of bug on my eye,neutral,2023-12-02,5,neutral,sayantandas@gmail.com
 Night!,neutral,2023-12-03,6,neutral,deydebjani916@gmail.com
Seems I brought a little Sikaflex caulk home with me... in my hair.,neutral,2023-11-27,0,neutral,sayantan17@gmail.com
One taken from earlier this week!  http://twitpic.com/4wb42,neutral,2023-11-28,1,neutral,kingsuk2022@gmail.com
 Hello How are you,neutral,2023-11-29,2,neutral,sayantandas@gmail.com
 Re-direct that energy into creating men`s jewelry.    And frequent walks too.,neutral,2023-11-30,3,neutral,deydebjani916@gmail.com
done with facebook. off to jamlegend,neutral,2023-12-01,4,neutral,sayantan17@gmail.com
New To twitter,neutral,2023-12-02,5,neutral,kingsuk2022@gmail.com
" I`m  yaoo, not  sonnnny",neutral,2023-12-03,6,neutral,sayantandas@gmail.com
_truong sunbae* my bad jst scratch wht i said  im talking nonsense here.. lol!!! enjoy the perfs,neutral,2023-11-27,0,amusement,deydebjani916@gmail.com
We should so go for the Cobra-Cam idea,neutral,2023-11-28,1,neutral,sayantan17@gmail.com
 i guess it wasnt meant to be..,neutral,2023-11-29,2,disapproval,kingsuk2022@gmail.com
"i need to read  fic again, but i lost it",neutral,2023-11-30,3,disappointment,sayantandas@gmail.com
 I been following.... LOL.. just dont be paying attention to little ol Mylan,neutral,2023-12-01,4,amusement,deydebjani916@gmail.com
 samee well i aint a man i am a girl obv nd i am 14 lol   i aint no1 special or not famous or rich  wish to be tho ****,neutral,2023-12-02,5,amusement,sayantan17@gmail.com
It`s hard to tell But I think I`m right   I hope.,neutral,2023-12-03,6,optimism,kingsuk2022@gmail.com
Just enjoyed 2 steak quesadillas! Kinda mad cause I`m gonna miss the laker game!,neutral,2023-11-27,0,joy,sayantandas@gmail.com
_mcflyandjb its okay!!!  x,neutral,2023-11-28,1,neutral,deydebjani916@gmail.com
sure wish the cat would stop hiding,neutral,2023-11-29,2,desire,sayantan17@gmail.com
_G yup - that`s where I watch all my movies,neutral,2023-11-30,3,neutral,kingsuk2022@gmail.com
 gmail,neutral,2023-12-01,4,neutral,sayantandas@gmail.com
workin at la bootay... wheres the warm weather at???,neutral,2023-12-02,5,curiosity,deydebjani916@gmail.com
" it was put on by our neighborhood, so just a little one. Like 25 runners. I got 1st place, with an okay time. I was happy.",neutral,2023-12-03,6,joy,sayantan17@gmail.com
" iam eating pizza, want some??? haha..",neutral,2023-11-27,0,amusement,kingsuk2022@gmail.com
 tell your grandmother i say hello,neutral,2023-11-28,1,neutral,sayantandas@gmail.com
super hungry... Dominos or martabak... both tempting and fattening,neutral,2023-11-29,2,neutral,deydebjani916@gmail.com
"Only 8 oral left!  then I have to learn them all but oh welllll, at least I don`t have to write them",neutral,2023-11-30,3,neutral,sayantan17@gmail.com
Massive morning.. I`m stuffed now,neutral,2023-12-01,4,excitement,kingsuk2022@gmail.com
" meee.. I have a Penguin wallpaper on the backround on my phone, computer, ps3, ipod touch and on my twitter",neutral,2023-12-02,5,neutral,sayantandas@gmail.com
wants to eat an entire chocolate cheesecake,neutral,2023-12-03,6,desire,deydebjani916@gmail.com
"is excited to be visited by her twin and best friend! dinner, star gazing, and a movie!   // cool http://gykd.net",positive,2023-11-27,0,excitement,sayantan17@gmail.com
 It`s fun to see that glimpse of your life,positive,2023-11-28,1,joy,kingsuk2022@gmail.com
"Wow, it`s so early. Just had the best conversation.",positive,2023-11-29,2,admiration,sayantandas@gmail.com
"am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!!  ****",positive,2023-11-30,3,optimism,deydebjani916@gmail.com
" Yeah, mine said 'That`s a nice picture' & gave me the red x!  Hope you get it working soon!",positive,2023-12-01,4,optimism,sayantan17@gmail.com
Missing my mother... t-11 days! HAPPY MOTHER`S DAY!!,positive,2023-12-02,5,sadness,kingsuk2022@gmail.com
 swimming and tanning was heaven! i blasted music while tanning and was in my own world.,positive,2023-12-03,6,joy,sayantandas@gmail.com
Check out my song 'time to lose it' on www.myspace.com/flownyce you`ll enjoy it I promise,positive,2023-11-27,0,joy,deydebjani916@gmail.com
 at least after this you`ll be done!!,positive,2023-11-28,1,neutral,sayantan17@gmail.com
Happy Mother`s Day to all my twitter moms (including myself),positive,2023-11-29,2,excitement,kingsuk2022@gmail.com
Tiesto in Vicky Park - how excellent,positive,2023-11-30,3,admiration,sayantandas@gmail.com
 Nice...I`d like to be there...but it`s too far...  I`m from Brazil... kisses and have a nice day!!!,positive,2023-12-01,4,desire,deydebjani916@gmail.com
 I`d like to put your fruity article on my website if you`ll permit,positive,2023-12-02,5,desire,sayantan17@gmail.com
 Thanks G! My actual birthday is on Tuesday and I will be 24.,positive,2023-12-03,6,gratitude,kingsuk2022@gmail.com
 Not a prob hun,positive,2023-11-27,0,neutral,sayantandas@gmail.com
Gudluck to   !!,positive,2023-11-28,1,gratitude,deydebjani916@gmail.com
Can you believe it:Tomorrow Night will be Jay Leno`s last episode of the Tonight Show  I encourage everyone to watch it and welcome Conan.,positive,2023-11-29,2,excitement,sayantan17@gmail.com
I like taking my dogs with me in the car when I run errands. They are always excited to go anywhere. like this morning to Krogers.,positive,2023-11-30,3,excitement,kingsuk2022@gmail.com
"nope, san leandro marina.    how are you?  hope you`re well!",positive,2023-12-01,4,optimism,sayantandas@gmail.com
 Stress-free is the way to be,positive,2023-12-02,5,neutral,deydebjani916@gmail.com
 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,positive,2023-12-03,6,neutral,sayantan17@gmail.com
 hehe i will never thorw out these shoes  i`m listening to varsity fanclub surprise surprise  sway sway baby is awesome,positive,2023-11-27,0,surprise,kingsuk2022@gmail.com
 I thought it was pretty good! I`m not a die hard Trekkie either.,positive,2023-11-28,1,admiration,sayantandas@gmail.com
 Cavs has the easier route than Denver.,positive,2023-11-29,2,neutral,deydebjani916@gmail.com
  He`s awesome... Have you worked with him before? He`s a good friend.,positive,2023-11-30,3,admiration,sayantan17@gmail.com
"Richelle Mead - Succubus Blues-fabulous read! very entertaining, lots of fun and interesting too!! next please..",positive,2023-12-01,4,amusement,kingsuk2022@gmail.com
Im so full. Subway was bomb! Waiting for my 2nd shift to start,positive,2023-12-02,5,excitement,sayantandas@gmail.com
" Yes, I liked it very very much  It wasn`t even cheesy!",positive,2023-12-03,6,love,deydebjani916@gmail.com
 glad you could make it,positive,2023-11-27,0,neutral,sayantan17@gmail.com
 Hope you feel better soon and check out my cool backround on my profile,positive,2023-11-28,1,caring,kingsuk2022@gmail.com
Chilling with my baybee sarah!  i love this girl,positive,2023-11-29,2,love,sayantandas@gmail.com
"Oh, and now Mondays also mean new American Dad!  So glad I watched that show, so funny, and it makes Mondays even better",positive,2023-11-30,3,joy,deydebjani916@gmail.com
" Girl, you`re crazy... I LOVE! you.  Hahaha, and I GOT! yo` Lp Chap.",positive,2023-12-01,4,love,sayantan17@gmail.com
 lol! I thought it was pretty funny too!,positive,2023-12-02,5,amusement,kingsuk2022@gmail.com
 Thanks for the interview mama!  Enjoy your night,positive,2023-12-03,6,gratitude,sayantandas@gmail.com
 You better believe it!   and I wouldn`t miss it for the world!,positive,2023-11-27,0,approval,deydebjani916@gmail.com
there`s not many things better than sleeping with my windows open,positive,2023-11-28,1,neutral,sayantan17@gmail.com
_ good morning - you`re up early! Feeling enthused to design your life?  thanks to manics for that phrase,positive,2023-11-29,2,gratitude,kingsuk2022@gmail.com
is stoked for spring! Amazing wild foods! Nature is abundant~bless up!!!,positive,2023-11-30,3,excitement,sayantandas@gmail.com
Goooosh! Someone payed my LastFM subscription  ^^,positive,2023-12-01,4,excitement,deydebjani916@gmail.com
"Oh, and yippee for Lyn-Z Way who gets to celebrate Mother`s Day for the first time as a mother.",positive,2023-12-02,5,excitement,sayantan17@gmail.com
 how fun!  where is the twitpic! I had purple hair once...,positive,2023-12-03,6,joy,kingsuk2022@gmail.com
is loving life,positive,2023-11-27,0,love,sayantandas@gmail.com
Happy Mother`s Day to all the mothers out there! Do have a good and enjoyable day,positive,2023-11-28,1,joy,deydebjani916@gmail.com
"Got my tattoo fixed today, and it didn`t hurt to much, thank god  Can`t wait to get the next one. $$$.",positive,2023-11-29,2,excitement,sayantan17@gmail.com
"Goodmorning twitter, oh my gosh, i woke up soooo nice, lol ... oh hai thar twitterverse. Happy #mothersday everybody  (especially mine)",positive,2023-11-30,3,amusement,kingsuk2022@gmail.com
 So romantic!!!!I hope you both have an amazing time...and paparazzi don`t follow you!!You need more privacy with Doug  xoxo,positive,2023-12-01,4,optimism,sayantandas@gmail.com
 ekkk..thats ruff..hope you have a safe flight and good meeting,positive,2023-12-02,5,optimism,deydebjani916@gmail.com
"So from this moment foward, imma have to spend my money wisely. No dress and shoe shopping every week. No more pigging out @ my fav rest.",positive,2023-12-03,6,approval,sayantan17@gmail.com
"And here goes my first Twitter from #TwitterBerry Application from my #BlackBerry Bold 9000..  Cheers, long live.. #SMR",positive,2023-11-27,0,excitement,kingsuk2022@gmail.com
"@_chloe yes! it`s on youtube  its from may 7th, and it made me feel 100x better. it`s halarious.",positive,2023-11-28,1,approval,sayantandas@gmail.com
"'I`ll see you again yeah?' 'Its up to you' 'I guarantee you will, i dont want to wait to long not seeing you' **** fruit basket! Hahaha",positive,2023-11-29,2,amusement,deydebjani916@gmail.com
 Today was fun  <333,positive,2023-11-30,3,joy,sayantan17@gmail.com
Always thinking about to look for a good place to appericiate everyone who supports me on every site I joined,positive,2023-12-01,4,desire,kingsuk2022@gmail.com
finished my capital transactions exam . . . as another monkey climbs down my back. looking forward to being in a glorious mood tomorrow.,positive,2023-12-02,5,optimism,sayantandas@gmail.com
*yaaaawwwwnnnn* thx to bank holiday... let`s see what today has prepared for us...,positive,2023-12-03,6,gratitude,deydebjani916@gmail.com
Happy Mother`s Day Mommies,positive,2023-11-27,0,excitement,sayantan17@gmail.com
Happy Mothers Day,positive,2023-11-28,1,excitement,kingsuk2022@gmail.com
mhmm idk i thought of just showing up and freaking ppl out hehe...but yeah i TOTALLY understand if it is just for u guys  VN sounds cool!!,positive,2023-11-29,2,amusement,sayantandas@gmail.com
 I think I left my conference feedback sheet in my bag. Oops. Just say Excellent for everything  Found out about it from you,positive,2023-11-30,3,embarrassment,deydebjani916@gmail.com
Ha ha ha  I know! Love it! Love him!,positive,2023-12-01,4,love,sayantan17@gmail.com
 the following week would be better - I`ll be gone next week,positive,2023-12-02,5,neutral,kingsuk2022@gmail.com
"get down tonight: http://bit.ly/QxXhi  the bridesmaids, moms, bride & I rockin` the reception",positive,2023-12-03,6,neutral,sayantandas@gmail.com
"'Hi Im Jonathan from Spotify, 4 just 9.99 a month u cn have unlimited music w/ no interuptions' But I luv r little chats J, dont leave me",positive,2023-11-27,0,love,deydebjani916@gmail.com
"Morning, up early to travel to today`s game but reli happy my bro is coming to watch me  x",positive,2023-11-28,1,joy,sayantan17@gmail.com
 I`ve thought about it several times . got a few good friends there!,positive,2023-11-29,2,approval,kingsuk2022@gmail.com
happy mommys day!,positive,2023-11-30,3,excitement,sayantandas@gmail.com
_marie1 hey beautiful whats up?,positive,2023-12-01,4,admiration,deydebjani916@gmail.com
Thanks to my assignment im off to work today!,positive,2023-12-02,5,gratitude,sayantan17@gmail.com
 i looooove me some star trek. runs in the family,positive,2023-12-03,6,love,kingsuk2022@gmail.com
says BAD TRIP! (angry)  http://plurk.com/p/wxshi,negative,2023-11-27,0,annoyance,sayantandas@gmail.com
 that sounds foreboding...,negative,2023-11-28,1,neutral,deydebjani916@gmail.com
" _kat I`ve begged my mum to lt me get them out the attic.. but she wont let me  Waaa... and yes, was spoilt! hehe!",negative,2023-11-29,2,amusement,sayantan17@gmail.com
"is really, really bored... I guess I will go to bed",negative,2023-11-30,3,annoyance,kingsuk2022@gmail.com
I just stuck my finger down my throat and there are a bunch of bumps on my tongue & throat.,negative,2023-12-01,4,neutral,sayantandas@gmail.com
" pictures of your bliss?  In JPEG format?  Sorry, it`s message board terminology and u don`t play w/us on the boards",negative,2023-12-02,5,remorse,deydebjani916@gmail.com
My teratoma has a cavity and is experiencing male-pattern baldness,negative,2023-12-03,6,sadness,sayantan17@gmail.com
First ever dropped call on my mobile. On a call to  no less! ( being charged for data even though I have a data pack  ),negative,2023-11-27,0,neutral,kingsuk2022@gmail.com
Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,negative,2023-11-28,1,sadness,sayantandas@gmail.com
 doesnt look good  we have to go burn some lampions,negative,2023-11-29,2,disapproval,deydebjani916@gmail.com
" And these poor, unfortunate souls don`t appear to have any pants at all...  ? http://blip.fm/~78qvz",negative,2023-11-30,3,sadness,sayantan17@gmail.com
It`s pissing me off and not letting me follow ericka,negative,2023-12-01,4,annoyance,kingsuk2022@gmail.com
 Had one of the female servers tell her **** looks big in those pants. She will worry all night long Lol,negative,2023-12-02,5,amusement,sayantandas@gmail.com
I spent an hour this morning going through yearbooks to see when each senior started to Harleton. My speech will be so boring.,negative,2023-12-03,6,disappointment,deydebjani916@gmail.com
" I am sure every office has them. Men and women with no capacity to realize they should SHUT THE UNHOLY **** UP, Christ",negative,2023-11-27,0,anger,sayantan17@gmail.com
" yea, feel like im bein ignored",negative,2023-11-28,1,disappointment,kingsuk2022@gmail.com
This is getting on my nerves. I cant change my pic,negative,2023-11-29,2,neutral,sayantandas@gmail.com
 i have a weird subconscience. i wonder who will i dream next,negative,2023-11-30,3,curiosity,deydebjani916@gmail.com
"#DuckRaces in the bath don`t quite work  Especially if you have no ducks! Only a polar bear,a seal & a whale.",negative,2023-12-01,4,disapproval,sayantan17@gmail.com
were playing at 7 @ club impact tomorrow! finally got shirts! woopity doo! i want a slurpeeee sooo bad right now,negative,2023-12-02,5,desire,kingsuk2022@gmail.com
will deplurk! GAH!! need to concentrate on Jap! Visit my http://jynxedpanda.com (site) if you have time  heh... http://plurk.com/p/rr2ly,negative,2023-12-03,6,neutral,sayantandas@gmail.com
 wtf pogs are back too?,negative,2023-11-27,0,curiosity,deydebjani916@gmail.com
" -- No fair, I want a sticker but I just moved away from London",negative,2023-11-28,1,neutral,sayantan17@gmail.com
 gonna go home and TRY to take a nap. I am emotionally exhausted   ... I will be in after.. <3,negative,2023-11-29,2,neutral,kingsuk2022@gmail.com
on my way to work. I`M SO HUNGRY!,negative,2023-11-30,3,excitement,sayantandas@gmail.com
I cant get all my rwitters on my phone this phone sucks,negative,2023-12-01,4,annoyance,deydebjani916@gmail.com
 i cantttt.  my grandparents are here.,negative,2023-12-02,5,disappointment,sayantan17@gmail.com
Bad Day. History Test Tommorrow. And I want to go out in the sun and play..,negative,2023-12-03,6,desire,kingsuk2022@gmail.com
wtf come i need this day to go by,negative,2023-11-27,0,neutral,sayantandas@gmail.com
" Wow, I`ve officially lost all faith in Britain, looks like our wishes weren`t met, sadly",negative,2023-11-28,1,sadness,deydebjani916@gmail.com
_Girl OOC sorry we keep missing each other...,negative,2023-11-29,2,sadness,sayantan17@gmail.com
I give in to easily,negative,2023-11-30,3,neutral,kingsuk2022@gmail.com
: aww im sorry honey.  that stinks,negative,2023-12-01,4,remorse,sayantandas@gmail.com
 awww. i wish i had a younger sis ): but i do have an older one!!! i bet your younger sis loves it JUST as much as u do!,negative,2023-12-02,5,desire,deydebjani916@gmail.com
http://twitpic.com/67qv3 - Me at Forever 21  Ethan couldn`t be there,negative,2023-12-03,6,neutral,sayantan17@gmail.com
goodness gracious my chair broke,negative,2023-11-27,0,sadness,kingsuk2022@gmail.com
 im so jealous! I want to go to ny,negative,2023-11-28,1,desire,sayantandas@gmail.com
Im @ the dentist  ....scary people here...,negative,2023-11-29,2,fear,deydebjani916@gmail.com
 that`s a mess  I`ll look for it next week,negative,2023-11-30,3,annoyance,sayantan17@gmail.com
 So sorry to hear your terrible news   Thinking of you all x,negative,2023-12-01,4,sadness,kingsuk2022@gmail.com
all my pancakes always end up soggy.,negative,2023-12-02,5,disappointment,sayantandas@gmail.com
"left school just now. my new dress broke, the strap ripped off",negative,2023-12-03,6,sadness,deydebjani916@gmail.com
 LMAAAOOOOO that is horrible. Poor thing,negative,2023-11-27,0,fear,sayantan17@gmail.com
Webcams Hoepfner Burgfest in #Karlsruhe: Automatic reload #fail http://bit.ly/Vdtvf,negative,2023-11-28,1,neutral,kingsuk2022@gmail.com
(sigh) guess we`re not gonna meet up today.,negative,2023-11-29,2,neutral,sayantandas@gmail.com
" Lakers, baby Lakers!! I`ll miss the game tmwr. I have to work  you`ll have to keep me posted please",negative,2023-11-30,3,sadness,deydebjani916@gmail.com
My car is broken.,negative,2023-12-01,4,sadness,sayantan17@gmail.com
hm seems to have been because my blog was marked as a phishing site,negative,2023-12-02,5,neutral,kingsuk2022@gmail.com
I think I have hayfever. Not sure due to wearing next to nothing in horrific weather on wed.,negative,2023-12-03,6,confusion,sayantandas@gmail.com
With bff _chrissy22 glad she got that dog out of here lol my stomatch hurts,negative,2023-11-27,0,amusement,deydebjani916@gmail.com
heyheyheyheyehyeyyyyyyyyyyyyyyyy noo tokio hotel tshirts im friad omg shame,negative,2023-11-28,1,embarrassment,sayantan17@gmail.com
So bored  waiting for class to start. Sigh midterms next week >_<,negative,2023-11-29,2,annoyance,kingsuk2022@gmail.com
Super bummed the Whitecaps game plans with friends fell through...I now need to be home by 7 to let the sitter go,negative,2023-11-30,3,disappointment,sayantandas@gmail.com
 Why I aint on ur #FF list? im hurt,negative,2023-12-01,4,sadness,deydebjani916@gmail.com
i wanna leave work already! Not feelin it 2day,negative,2023-12-02,5,neutral,sayantan17@gmail.com
saddest celeb story of the week  http://bit.ly/h09Ph,negative,2023-12-03,6,disappointment,kingsuk2022@gmail.com
_distel Maybe u have natural ability for languages  I envy u on that !!,negative,2023-11-27,0,neutral,sayantandas@gmail.com
Daddy just left.................without me  http://yfrog.com/13pdrmj,negative,2023-11-28,1,neutral,deydebjani916@gmail.com
Willie is pouting because Grandma didn`t put any treats on my food  http://apps.facebook.com/dogbook/profile/view/6877293,negative,2023-11-29,2,neutral,sayantan17@gmail.com
seriously getting hurt.... 4 days before nationals.. what a joke,negative,2023-11-30,3,amusement,kingsuk2022@gmail.com
The fam back on the Big Island said the vog has been so bad that they can`t see the ocean. Sad!,negative,2023-12-01,4,sadness,sayantandas@gmail.com
Wait...  and ... Electrik Red or Richgirl?  I`m a sucker for the later,negative,2023-12-02,5,neutral,deydebjani916@gmail.com
A long and stressful day coming up tomorrow. Have to write responses to EOI; doing a colleagues job,negative,2023-12-03,6,nervousness,sayantan17@gmail.com
 The party has to be moved to next weekend  ..stupid weather.,negative,2023-11-27,0,annoyance,kingsuk2022@gmail.com
"Oh ffs :@ a don`t get paid till monday :@:@:@ :$. Sorry william, gonna have to wait till next weekend till I give you Ã¯Â¿Â½  :@",negative,2023-11-28,1,remorse,sayantandas@gmail.com
I`m bummed that I didn`t get TEDx tickets,negative,2023-11-29,2,disappointment,deydebjani916@gmail.com
"Have to walk to school, and i have two welts on my thighs!",negative,2023-11-30,3,neutral,sayantan17@gmail.com
" yeah, I just realise the organiser dun let performing artist/djs drink on stage  tight malaysian laws n rules here",negative,2023-12-01,4,realization,kingsuk2022@gmail.com
Watching Dr. Phil`s special on same-**** marriage. It`s sad how ignorant some people are,negative,2023-12-02,5,sadness,sayantandas@gmail.com
@_anniemay OMG No fair,negative,2023-12-03,6,disapproval,deydebjani916@gmail.com
